src	tgt
388+883	1271
490+7473	7963
1504+585	2089
646+325	971
864+500	1364
5832+749	6581
405+793	1198
7113+111	7224
3316+226	3542
105+686	791
7456+650	8106
2394+412	2806
866+859	1725
6633+316	6949
761+9397	10158
264+288	552
731+954	1685
298+2877	3175
787+918	1705
1891+971	2862
8557+760	9317
2198+397	2595
2103+356	2459
302+843	1145
8982+438	9420
231+4842	5073
391+734	1125
298+425	723
561+6379	6940
6008+810	6818
3496+679	4175
6971+927	7898
538+3762	4300
420+352	772
829+857	1686
8145+383	8528
237+6432	6669
573+8296	8869
893+6004	6897
664+2783	3447
761+721	1482
961+387	1348
651+301	952
851+2252	3103
2235+119	2354
1511+932	2443
7637+887	8524
4485+137	4622
5269+656	5925
8734+769	9503
474+501	975
890+703	1593
5767+237	6004
613+9362	9975
506+472	978
1173+778	1951
968+925	1893
3717+875	4592
3299+556	3855
283+679	962
3395+853	4248
8921+467	9388
324+879	1203
337+2029	2366
478+4834	5312
784+311	1095
6918+497	7415
565+1760	2325
764+431	1195
820+633	1453
5480+954	6434
5314+692	6006
3848+485	4333
7201+474	7675
2275+629	2904
485+4651	5136
7649+461	8110
598+8898	9496
1108+613	1721
550+269	819
178+626	804
5600+316	5916
291+261	552
716+2938	3654
4773+524	5297
837+2856	3693
791+8844	9635
315+3641	3956
7732+122	7854
144+230	374
3639+237	3876
9399+140	9539
3406+157	3563
364+284	648
7642+713	8355
1305+999	2304
5644+187	5831
559+721	1280
988+8891	9879
324+950	1274
715+3338	4053
3979+738	4717
9369+370	9739
841+802	1643
564+2127	2691
487+494	981
211+116	327
635+980	1615
7877+946	8823
720+198	918
587+729	1316
1639+998	2637
9246+870	10116
195+593	788
3135+717	3852
1019+893	1912
8069+634	8703
479+1711	2190
9680+539	10219
921+593	1514
458+2600	3058
237+5170	5407
884+4809	5693
390+712	1102
7695+363	8058
105+826	931
1116+691	1807
2930+632	3562
484+770	1254
804+923	1727
518+6935	7453
258+536	794
5155+367	5522
7939+678	8617
726+5514	6240
7511+873	8384
523+665	1188
8904+283	9187
672+8925	9597
414+6641	7055
7522+853	8375
975+984	1959
2951+865	3816
557+901	1458
3650+202	3852
620+510	1130
920+1852	2772
498+751	1249
923+193	1116
582+714	1296
190+2049	2239
327+7075	7402
723+138	861
7296+510	7806
9536+393	9929
1941+892	2833
755+606	1361
110+4304	4414
9489+392	9881
134+902	1036
9364+628	9992
4795+729	5524
790+136	926
344+1004	1348
188+382	570
461+7474	7935
700+4281	4981
1251+854	2105
2124+192	2316
5661+843	6504
6703+455	7158
331+4187	4518
513+1076	1589
279+7670	7949
2744+672	3416
615+401	1016
219+9409	9628
997+9813	10810
5098+810	5908
486+8923	9409
875+447	1322
797+8548	9345
1448+593	2041
364+169	533
748+4610	5358
4767+919	5686
522+6785	7307
9776+109	9885
5314+354	5668
195+7536	7731
6603+177	6780
3924+587	4511
462+4580	5042
5408+287	5695
4115+610	4725
4271+340	4611
4965+993	5958
311+4755	5066
954+355	1309
6833+259	7092
222+180	402
9071+728	9799
882+977	1859
1692+968	2660
480+6167	6647
688+5501	6189
287+9374	9661
507+4638	5145
3101+155	3256
7933+589	8522
1533+614	2147
503+3863	4366
223+9490	9713
423+1137	1560
790+315	1105
694+2650	3344
470+5254	5724
661+369	1030
375+582	957
6621+474	7095
610+534	1144
529+817	1346
473+7563	8036
561+3947	4508
3148+689	3837
4744+933	5677
838+376	1214
668+542	1210
300+3389	3689
3450+584	4034
280+531	811
237+9470	9707
6172+904	7076
407+5111	5518
1781+507	2288
807+267	1074
320+933	1253
587+2577	3164
862+6483	7345
469+6903	7372
5222+452	5674
521+224	745
988+4259	5247
9821+278	10099
463+6326	6789
9363+599	9962
8322+180	8502
728+5694	6422
746+3373	4119
755+927	1682
531+7631	8162
181+265	446
333+6136	6469
768+5773	6541
5382+719	6101
7479+377	7856
899+6950	7849
9535+561	10096
271+4012	4283
228+845	1073
777+357	1134
2311+315	2626
506+205	711
165+999	1164
661+1881	2542
889+506	1395
2363+206	2569
732+3544	4276
770+499	1269
334+5053	5387
5655+553	6208
3071+234	3305
3795+129	3924
779+465	1244
984+8801	9785
991+9856	10847
661+8288	8949
814+652	1466
705+711	1416
746+8126	8872
9745+417	10162
593+9841	10434
924+191	1115
415+6992	7407
366+3551	3917
110+1001	1111
3233+452	3685
580+9767	10347
804+603	1407
406+1149	1555
917+5799	6716
4788+915	5703
661+482	1143
521+674	1195
504+5094	5598
832+854	1686
7385+948	8333
325+5308	5633
532+740	1272
629+882	1511
5454+391	5845
9715+928	10643
522+4080	4602
286+239	525
213+8460	8673
8418+378	8796
9060+292	9352
119+3492	3611
647+122	769
204+388	592
228+8183	8411
1134+338	1472
254+115	369
322+6601	6923
419+9165	9584
574+1519	2093
182+3393	3575
372+894	1266
173+9899	10072
285+4148	4433
936+7251	8187
224+886	1110
5078+494	5572
353+1549	1902
571+852	1423
633+781	1414
584+498	1082
6113+430	6543
744+845	1589
862+662	1524
3001+359	3360
753+5895	6648
469+153	622
4568+215	4783
748+544	1292
115+3742	3857
698+2960	3658
908+4982	5890
143+695	838
8786+804	9590
3539+480	4019
354+261	615
193+6544	6737
1983+161	2144
760+3521	4281
9787+910	10697
228+599	827
424+671	1095
6690+924	7614
850+4161	5011
805+486	1291
841+3207	4048
140+8951	9091
8168+672	8840
655+9029	9684
680+291	971
6696+431	7127
8674+381	9055
3627+170	3797
3539+560	4099
939+5314	6253
7014+564	7578
894+753	1647
7210+851	8061
119+734	853
894+4912	5806
838+2037	2875
9830+938	10768
294+9586	9880
9151+884	10035
3525+727	4252
430+7714	8144
6276+213	6489
635+774	1409
144+955	1099
282+994	1276
306+209	515
296+2617	2913
684+757	1441
773+9026	9799
5193+150	5343
326+2161	2487
313+771	1084
952+2310	3262
920+1994	2914
671+7814	8485
913+1955	2868
5355+641	5996
851+172	1023
179+4537	4716
2591+203	2794
4784+644	5428
294+4164	4458
5075+683	5758
3931+671	4602
7802+864	8666
884+753	1637
6864+790	7654
819+7997	8816
270+911	1181
663+511	1174
6529+773	7302
646+714	1360
460+6163	6623
6319+965	7284
522+8054	8576
6299+723	7022
676+658	1334
484+884	1368
5162+468	5630
558+7505	8063
843+135	978
710+1267	1977
3213+409	3622
407+327	734
976+422	1398
890+941	1831
5521+666	6187
3534+196	3730
571+464	1035
241+371	612
696+5093	5789
362+930	1292
194+7550	7744
4562+851	5413
840+432	1272
277+8999	9276
2562+709	3271
5921+138	6059
7251+180	7431
889+442	1331
936+8115	9051
988+2974	3962
865+768	1633
1187+749	1936
7266+155	7421
636+1674	2310
652+3450	4102
614+4617	5231
151+789	940
7436+556	7992
9269+192	9461
542+396	938
251+3165	3416
184+8796	8980
1807+661	2468
368+2393	2761
613+8118	8731
3136+880	4016
592+672	1264
599+504	1103
4212+674	4886
9589+352	9941
173+372	545
431+2467	2898
787+523	1310
474+6706	7180
428+452	880
1396+888	2284
273+6729	7002
8245+738	8983
551+145	696
304+801	1105
259+2405	2664
857+155	1012
735+251	986
114+6624	6738
2823+412	3235
582+1372	1954
314+9814	10128
308+659	967
5237+661	5898
737+3315	4052
1301+485	1786
9631+144	9775
274+1984	2258
305+5444	5749
576+770	1346
168+497	665
5445+778	6223
6901+985	7886
119+399	518
7332+336	7668
620+2631	3251
596+9709	10305
290+303	593
8503+674	9177
1352+140	1492
642+412	1054
601+7445	8046
3572+118	3690
800+6765	7565
740+5953	6693
613+382	995
740+363	1103
934+1482	2416
5590+330	5920
449+502	951
3248+189	3437
7262+633	7895
4726+527	5253
686+256	942
419+6395	6814
655+3158	3813
768+241	1009
9869+800	10669
983+241	1224
805+9582	10387
540+888	1428
771+678	1449
425+169	594
9732+836	10568
288+425	713
844+130	974
523+7737	8260
553+5485	6038
897+292	1189
234+289	523
880+726	1606
5372+720	6092
4783+710	5493
336+803	1139
467+181	648
8808+237	9045
8680+829	9509
7126+288	7414
603+8763	9366
267+297	564
133+518	651
376+522	898
860+787	1647
875+309	1184
281+549	830
9027+804	9831
987+8496	9483
537+514	1051
722+852	1574
837+6126	6963
726+9784	10510
1630+633	2263
562+567	1129
998+351	1349
9812+505	10317
1643+671	2314
628+1807	2435
398+550	948
411+5684	6095
270+7921	8191
727+1893	2620
9470+245	9715
949+8400	9349
839+612	1451
284+897	1181
9952+238	10190
523+6299	6822
125+3930	4055
704+4308	5012
192+5097	5289
808+3686	4494
3024+193	3217
823+560	1383
6946+187	7133
7292+844	8136
3619+487	4106
7235+144	7379
443+679	1122
3459+266	3725
283+887	1170
1840+529	2369
416+8311	8727
741+3960	4701
234+307	541
737+883	1620
112+8514	8626
975+9169	10144
1094+722	1816
343+4553	4896
8794+564	9358
552+2300	2852
1107+350	1457
5556+734	6290
4401+150	4551
251+156	407
6718+137	6855
974+133	1107
5889+439	6328
150+211	361
282+3643	3925
5659+725	6384
3906+566	4472
6901+136	7037
886+406	1292
477+7208	7685
876+537	1413
2063+399	2462
237+2999	3236
5496+437	5933
7779+637	8416
812+314	1126
1953+211	2164
9666+189	9855
841+5705	6546
723+6185	6908
638+6797	7435
729+676	1405
632+9154	9786
927+3947	4874
4812+825	5637
298+1025	1323
124+576	700
2932+855	3787
918+730	1648
523+1745	2268
458+4478	4936
755+306	1061
5614+360	5974
415+407	822
6307+885	7192
216+802	1018
449+7488	7937
1477+952	2429
298+438	736
788+8849	9637
916+1582	2498
3224+593	3817
742+571	1313
6490+573	7063
860+1917	2777
5904+678	6582
6169+668	6837
1306+313	1619
6434+918	7352
167+3446	3613
960+1510	2470
484+9753	10237
684+720	1404
291+2914	3205
822+6152	6974
1518+378	1896
188+9143	9331
480+562	1042
321+9603	9924
279+2838	3117
903+1612	2515
194+554	748
1408+918	2326
612+3524	4136
448+595	1043
9579+417	9996
246+2609	2855
3174+310	3484
1598+570	2168
830+9558	10388
104+418	522
803+968	1771
2426+441	2867
147+2689	2836
6119+123	6242
6114+754	6868
428+305	733
393+383	776
6228+891	7119
787+2927	3714
252+3580	3832
217+1249	1466
9422+204	9626
655+458	1113
6218+377	6595
821+923	1744
687+5011	5698
172+418	590
6549+653	7202
151+3131	3282
582+791	1373
208+492	700
188+536	724
283+8304	8587
6826+419	7245
937+4246	5183
9740+180	9920
681+3159	3840
932+921	1853
8672+199	8871
417+8625	9042
337+4666	5003
981+731	1712
472+7423	7895
816+781	1597
907+6320	7227
599+1495	2094
586+215	801
590+8556	9146
389+886	1275
718+3087	3805
2686+515	3201
2752+433	3185
2162+911	3073
645+8552	9197
704+7773	8477
735+349	1084
3605+593	4198
167+6582	6749
933+810	1743
8063+903	8966
680+6606	7286
4869+277	5146
2276+857	3133
8972+217	9189
8584+433	9017
2599+941	3540
280+6046	6326
171+2781	2952
7208+435	7643
760+2007	2767
322+936	1258
694+873	1567
1003+875	1878
776+252	1028
644+5775	6419
730+8326	9056
310+797	1107
406+5989	6395
835+6640	7475
696+108	804
9362+513	9875
972+401	1373
478+662	1140
100+820	920
6885+212	7097
986+1510	2496
542+819	1361
7459+740	8199
828+7271	8099
490+8130	8620
4460+778	5238
586+242	828
668+493	1161
960+7835	8795
395+993	1388
3056+237	3293
173+763	936
247+838	1085
773+8155	8928
186+240	426
7813+980	8793
907+7974	8881
3945+565	4510
7948+665	8613
493+6821	7314
290+534	824
1121+691	1812
967+4878	5845
9220+375	9595
659+7012	7671
138+681	819
821+7038	7859
694+593	1287
2311+245	2556
9624+979	10603
576+9469	10045
635+724	1359
351+583	934
2279+800	3079
9834+917	10751
6119+727	6846
451+647	1098
580+564	1144
8687+687	9374
6431+531	6962
917+5827	6744
271+1578	1849
5981+844	6825
5267+162	5429
8752+692	9444
686+152	838
5780+928	6708
1447+393	1840
184+3077	3261
2259+971	3230
358+3171	3529
5603+381	5984
114+2827	2941
3860+705	4565
3476+774	4250
478+3873	4351
901+4869	5770
285+9640	9925
451+186	637
709+941	1650
957+607	1564
888+7277	8165
776+550	1326
3740+315	4055
6653+155	6808
5331+873	6204
153+271	424
508+8802	9310
587+9724	10311
488+799	1287
7390+585	7975
248+9690	9938
112+5731	5843
491+6172	6663
1672+199	1871
6797+964	7761
725+5466	6191
376+5375	5751
361+770	1131
7408+572	7980
4961+851	5812
4193+632	4825
793+3947	4740
660+1173	1833
1138+951	2089
112+521	633
637+206	843
8306+459	8765
842+390	1232
297+1557	1854
734+194	928
708+772	1480
713+753	1466
825+222	1047
976+719	1695
484+772	1256
4027+213	4240
4018+359	4377
578+2240	2818
8429+383	8812
808+6298	7106
265+2212	2477
895+2022	2917
497+6450	6947
364+932	1296
282+8218	8500
603+305	908
7432+282	7714
9061+211	9272
653+887	1540
323+2740	3063
832+5243	6075
135+174	309
685+845	1530
895+8305	9200
609+252	861
1014+138	1152
7397+372	7769
816+437	1253
688+1060	1748
9039+589	9628
513+2148	2661
4700+103	4803
805+8898	9703
680+648	1328
441+5961	6402
156+2485	2641
647+6571	7218
961+570	1531
763+4327	5090
667+140	807
776+4129	4905
812+7391	8203
745+805	1550
598+2390	2988
8175+852	9027
243+136	379
125+837	962
4907+600	5507
164+9856	10020
6041+611	6652
8361+116	8477
447+157	604
906+1701	2607
221+4468	4689
9570+569	10139
9791+252	10043
4817+173	4990
853+244	1097
769+1312	2081
733+1750	2483
818+764	1582
114+276	390
1818+414	2232
567+725	1292
955+705	1660
937+937	1874
216+609	825
4613+164	4777
536+445	981
7586+432	8018
800+689	1489
3250+429	3679
882+146	1028
3841+443	4284
223+380	603
875+525	1400
813+478	1291
3703+549	4252
695+141	836
202+910	1112
7162+896	8058
116+598	714
106+107	213
191+823	1014
5648+526	6174
8798+808	9606
311+246	557
5439+635	6074
521+4919	5440
725+808	1533
710+284	994
9190+726	9916
742+946	1688
456+7861	8317
671+341	1012
220+642	862
733+470	1203
9315+324	9639
888+4409	5297
154+4173	4327
915+252	1167
8772+609	9381
263+786	1049
155+760	915
391+4433	4824
357+6477	6834
8424+144	8568
858+153	1011
3881+261	4142
596+627	1223
172+340	512
8287+706	8993
6340+529	6869
865+793	1658
335+2804	3139
333+2606	2939
855+522	1377
484+325	809
582+699	1281
155+8141	8296
321+724	1045
282+7346	7628
239+8499	8738
4181+747	4928
376+4313	4689
230+1525	1755
1977+387	2364
213+972	1185
569+7852	8421
878+451	1329
402+718	1120
908+913	1821
3784+691	4475
4763+188	4951
977+9548	10525
982+4546	5528
8757+957	9714
385+1237	1622
8014+853	8867
353+435	788
693+4643	5336
3440+687	4127
527+145	672
581+851	1432
1550+535	2085
7460+590	8050
2605+563	3168
346+2361	2707
1203+809	2012
7662+323	7985
467+402	869
763+192	955
591+785	1376
265+8524	8789
1399+565	1964
890+3271	4161
7641+289	7930
741+8607	9348
1022+981	2003
2158+494	2652
6454+643	7097
403+536	939
814+9887	10701
4393+906	5299
2326+735	3061
853+1898	2751
6963+152	7115
492+474	966
733+1669	2402
475+3871	4346
2097+674	2771
4354+241	4595
344+9841	10185
764+589	1353
4437+871	5308
4693+428	5121
373+9250	9623
7929+383	8312
164+481	645
563+8966	9529
9629+949	10578
581+826	1407
9730+399	10129
735+7031	7766
2075+292	2367
189+2313	2502
283+5724	6007
211+268	479
214+3424	3638
254+4346	4600
1371+400	1771
798+9870	10668
585+455	1040
554+1351	1905
293+2031	2324
992+921	1913
954+632	1586
6503+521	7024
6616+771	7387
6346+597	6943
9686+962	10648
8295+568	8863
680+3161	3841
275+5259	5534
595+480	1075
888+1775	2663
461+391	852
270+3634	3904
9770+392	10162
279+959	1238
3514+265	3779
219+142	361
688+3072	3760
366+7056	7422
310+675	985
1568+781	2349
452+3423	3875
559+9845	10404
646+408	1054
125+514	639
886+3381	4267
427+3556	3983
856+659	1515
6427+762	7189
5842+585	6427
872+3409	4281
8243+446	8689
2840+849	3689
141+3284	3425
2914+415	3329
511+732	1243
556+465	1021
434+156	590
4197+697	4894
4639+900	5539
300+1369	1669
651+969	1620
793+2431	3224
7462+299	7761
425+9381	9806
782+469	1251
251+8006	8257
495+7108	7603
391+453	844
415+8300	8715
2435+320	2755
8278+859	9137
922+8249	9171
267+7944	8211
7786+242	8028
2410+247	2657
410+586	996
6495+167	6662
7156+190	7346
519+754	1273
524+3865	4389
8571+827	9398
3243+304	3547
952+490	1442
667+9037	9704
942+946	1888
954+5979	6933
672+8593	9265
127+910	1037
257+368	625
755+8742	9497
769+781	1550
527+3938	4465
804+5009	5813
222+883	1105
604+2093	2697
6927+695	7622
679+8144	8823
743+8799	9542
2959+482	3441
1287+965	2252
266+1958	2224
427+572	999
3219+465	3684
154+379	533
529+6832	7361
396+398	794
2258+626	2884
884+743	1627
883+196	1079
3738+656	4394
993+6180	7173
5932+377	6309
6939+198	7137
6761+943	7704
113+240	353
5610+481	6091
521+6575	7096
204+323	527
615+326	941
914+672	1586
9612+966	10578
2867+527	3394
178+2909	3087
117+591	708
419+6940	7359
936+552	1488
9570+881	10451
276+5991	6267
862+934	1796
327+231	558
3332+804	4136
414+228	642
233+180	413
807+2830	3637
119+893	1012
875+8065	8940
301+210	511
912+775	1687
1971+580	2551
359+144	503
408+783	1191
872+198	1070
716+310	1026
4277+289	4566
6759+129	6888
249+966	1215
5544+693	6237
460+3630	4090
4962+617	5579
2119+201	2320
1229+641	1870
832+296	1128
275+9800	10075
842+201	1043
616+971	1587
8777+475	9252
4033+550	4583
2758+285	3043
488+7948	8436
626+333	959
215+6149	6364
577+212	789
3226+607	3833
821+5723	6544
1665+184	1849
605+2895	3500
390+8486	8876
6111+803	6914
331+7672	8003
975+8011	8986
977+171	1148
795+7020	7815
113+790	903
788+2723	3511
548+9563	10111
2392+222	2614
504+510	1014
2666+859	3525
166+472	638
446+305	751
7623+225	7848
958+534	1492
9177+385	9562
5472+874	6346
7557+464	8021
782+7626	8408
623+5569	6192
886+565	1451
225+356	581
609+4781	5390
3205+130	3335
855+154	1009
610+794	1404
283+491	774
6356+256	6612
736+2578	3314
776+869	1645
9064+911	9975
306+5809	6115
9157+602	9759
5287+655	5942
928+9856	10784
1289+882	2171
540+221	761
560+6153	6713
553+8531	9084
133+281	414
5965+823	6788
603+541	1144
419+832	1251
599+2792	3391
9037+775	9812
9837+685	10522
587+3560	4147
1913+500	2413
606+7189	7795
6779+884	7663
428+2006	2434
704+146	850
957+475	1432
928+1440	2368
6591+489	7080
538+453	991
521+6755	7276
777+350	1127
340+763	1103
706+2391	3097
2073+989	3062
217+6531	6748
120+651	771
138+8551	8689
7921+681	8602
7900+373	8273
812+580	1392
1364+424	1788
684+7394	8078
686+2601	3287
202+4373	4575
608+9237	9845
6563+270	6833
5907+472	6379
306+9142	9448
2234+960	3194
4507+394	4901
148+5871	6019
7586+923	8509
739+860	1599
834+964	1798
2552+706	3258
379+2102	2481
9700+586	10286
314+6690	7004
767+943	1710
616+5913	6529
779+9846	10625
304+7788	8092
357+9443	9800
787+9971	10758
119+742	861
9457+983	10440
690+611	1301
776+943	1719
8656+374	9030
9728+928	10656
8106+679	8785
1981+634	2615
473+573	1046
346+254	600
5919+964	6883
520+6220	6740
749+308	1057
373+5702	6075
3631+362	3993
4868+515	5383
216+253	469
128+351	479
575+8952	9527
8145+532	8677
1606+306	1912
379+239	618
364+908	1272
774+3883	4657
1691+839	2530
901+1326	2227
980+185	1165
716+5882	6598
516+472	988
2479+506	2985
3302+341	3643
684+852	1536
2976+634	3610
9605+357	9962
192+4900	5092
3003+891	3894
437+7388	7825
4865+533	5398
247+209	456
319+381	700
518+5166	5684
1916+602	2518
7139+816	7955
424+658	1082
586+5036	5622
903+3374	4277
586+7025	7611
121+1570	1691
1895+807	2702
4926+359	5285
7302+416	7718
6945+931	7876
2999+647	3646
978+553	1531
108+7438	7546
408+2478	2886
404+315	719
549+746	1295
931+7656	8587
380+987	1367
942+898	1840
582+7765	8347
834+7920	8754
944+264	1208
5275+618	5893
460+530	990
9973+855	10828
564+1448	2012
756+756	1512
745+554	1299
3229+103	3332
304+6006	6310
689+2347	3036
261+355	616
3131+967	4098
7722+911	8633
562+8837	9399
3187+366	3553
803+707	1510
918+5616	6534
186+524	710
286+7447	7733
954+4677	5631
123+671	794
4747+191	4938
303+5289	5592
3764+150	3914
732+8027	8759
5262+252	5514
476+274	750
2922+114	3036
9615+545	10160
947+9096	10043
329+830	1159
295+982	1277
394+9096	9490
233+8066	8299
714+320	1034
844+4102	4946
284+7693	7977
129+397	526
341+8388	8729
478+696	1174
8506+187	8693
580+236	816
809+7513	8322
4476+830	5306
825+7935	8760
5198+174	5372
670+160	830
440+340	780
462+1745	2207
359+616	975
7241+409	7650
787+7076	7863
672+142	814
3938+366	4304
615+604	1219
998+8669	9667
191+424	615
9690+543	10233
366+219	585
145+3095	3240
992+5603	6595
6907+540	7447
997+5312	6309
5321+629	5950
546+3703	4249
854+9049	9903
669+973	1642
8208+154	8362
252+155	407
287+136	423
366+3679	4045
8653+546	9199
606+141	747
465+8949	9414
604+2843	3447
3425+226	3651
195+4337	4532
284+3757	4041
9335+942	10277
676+4479	5155
1067+638	1705
3958+526	4484
352+886	1238
793+2545	3338
126+5657	5783
2998+503	3501
704+2737	3441
257+1473	1730
571+950	1521
8861+564	9425
5412+708	6120
1095+437	1532
771+737	1508
432+3118	3550
983+149	1132
5635+430	6065
861+172	1033
7248+194	7442
361+3916	4277
889+986	1875
191+1336	1527
266+497	763
391+3525	3916
405+602	1007
853+6080	6933
3151+467	3618
2574+952	3526
624+4274	4898
556+7358	7914
374+7931	8305
874+532	1406
728+4053	4781
745+7979	8724
141+625	766
574+4673	5247
3540+607	4147
9596+185	9781
579+8165	8744
920+589	1509
252+3093	3345
5921+961	6882
635+537	1172
682+1781	2463
2253+146	2399
2763+622	3385
522+2548	3070
776+5151	5927
360+2339	2699
1266+216	1482
8583+283	8866
963+502	1465
185+526	711
5876+421	6297
8454+875	9329
8371+738	9109
449+4066	4515
289+180	469
5248+992	6240
2742+544	3286
1293+105	1398
219+1217	1436
771+588	1359
808+7637	8445
8974+410	9384
6910+807	7717
7471+923	8394
189+3049	3238
114+295	409
935+116	1051
4083+979	5062
314+592	906
3378+765	4143
546+962	1508
9824+295	10119
408+888	1296
251+8765	9016
122+2908	3030
256+856	1112
8295+596	8891
120+8364	8484
4975+306	5281
683+7418	8101
441+108	549
745+967	1712
8074+525	8599
854+5764	6618
599+509	1108
625+8993	9618
831+162	993
1311+532	1843
6174+666	6840
374+763	1137
584+2915	3499
737+6681	7418
814+8147	8961
265+394	659
4149+580	4729
548+4802	5350
4599+701	5300
6556+716	7272
8675+234	8909
840+7395	8235
953+6902	7855
918+3654	4572
4394+389	4783
2412+783	3195
232+3839	4071
260+720	980
203+7815	8018
410+4845	5255
670+148	818
467+367	834
793+3598	4391
947+980	1927
1523+926	2449
445+540	985
732+332	1064
675+329	1004
364+6575	6939
887+1764	2651
5382+254	5636
9444+718	10162
2706+823	3529
548+918	1466
961+2817	3778
900+725	1625
2669+943	3612
1687+619	2306
271+745	1016
991+310	1301
260+5786	6046
8233+880	9113
9165+850	10015
257+762	1019
442+3257	3699
968+306	1274
525+1107	1632
954+928	1882
449+5698	6147
3805+187	3992
481+7799	8280
744+5021	5765
871+871	1742
7909+906	8815
241+921	1162
523+7706	8229
972+9456	10428
6927+130	7057
249+1162	1411
9476+171	9647
446+422	868
890+3692	4582
162+7443	7605
776+756	1532
688+159	847
9516+402	9918
511+5986	6497
6139+452	6591
946+386	1332
3406+817	4223
556+4360	4916
8244+814	9058
931+7627	8558
408+186	594
650+442	1092
842+3064	3906
9860+390	10250
195+623	818
6115+633	6748
875+3621	4496
128+915	1043
5238+347	5585
843+7926	8769
2809+849	3658
961+481	1442
742+9314	10056
226+1782	2008
3043+559	3602
686+1085	1771
447+4868	5315
9737+964	10701
4831+458	5289
391+3293	3684
7187+632	7819
5057+207	5264
628+4154	4782
565+2605	3170
828+535	1363
183+2511	2694
535+233	768
319+8309	8628
478+793	1271
7598+702	8300
9502+897	10399
992+5320	6312
9172+751	9923
550+9020	9570
7830+943	8773
247+617	864
596+828	1424
232+9408	9640
2934+811	3745
566+584	1150
864+260	1124
7051+221	7272
7694+212	7906
478+685	1163
141+9565	9706
220+480	700
483+5968	6451
597+1458	2055
245+902	1147
7910+149	8059
390+4532	4922
938+857	1795
102+3004	3106
6712+169	6881
527+592	1119
6074+679	6753
445+7181	7626
954+3175	4129
616+751	1367
879+8371	9250
8357+252	8609
6328+191	6519
7711+496	8207
504+447	951
1750+786	2536
853+5544	6397
2450+986	3436
824+125	949
6060+674	6734
3028+759	3787
2395+297	2692
9877+690	10567
683+634	1317
868+587	1455
1305+223	1528
9713+284	9997
381+905	1286
351+949	1300
8278+186	8464
6249+511	6760
1737+603	2340
448+547	995
524+124	648
6199+491	6690
193+2878	3071
654+272	926
247+3992	4239
886+2468	3354
414+517	931
3772+160	3932
6329+285	6614
830+159	989
499+2617	3116
245+7763	8008
364+7152	7516
153+307	460
870+711	1581
4874+604	5478
9264+494	9758
375+162	537
575+7669	8244
595+129	724
748+4829	5577
375+667	1042
2663+352	3015
3057+411	3468
7664+556	8220
966+751	1717
4333+901	5234
482+653	1135
900+351	1251
7942+668	8610
142+1016	1158
949+5739	6688
3742+100	3842
593+379	972
5110+959	6069
7228+459	7687
4485+699	5184
5609+146	5755
856+646	1502
2145+407	2552
504+815	1319
950+243	1193
5578+999	6577
315+9270	9585
798+6613	7411
5282+870	6152
8417+379	8796
778+429	1207
315+8533	8848
6381+116	6497
3190+761	3951
723+587	1310
109+788	897
523+669	1192
9011+880	9891
651+2329	2980
2270+651	2921
952+935	1887
8293+788	9081
461+932	1393
947+6864	7811
281+1138	1419
573+479	1052
555+109	664
860+120	980
796+6862	7658
192+935	1127
5967+927	6894
4623+339	4962
471+1602	2073
604+4425	5029
300+940	1240
7489+213	7702
682+9197	9879
274+4174	4448
3875+166	4041
3101+863	3964
230+365	595
4734+635	5369
5494+296	5790
1378+809	2187
9731+729	10460
797+8437	9234
537+756	1293
1849+974	2823
542+7666	8208
224+9491	9715
607+6922	7529
1712+838	2550
148+384	532
645+8354	8999
105+7420	7525
442+183	625
1415+855	2270
806+533	1339
355+301	656
437+418	855
741+740	1481
128+591	719
927+1393	2320
6477+960	7437
353+2766	3119
344+6583	6927
941+441	1382
4878+174	5052
8184+882	9066
740+557	1297
3045+187	3232
134+486	620
968+2065	3033
163+921	1084
156+5939	6095
8075+167	8242
793+157	950
1855+401	2256
511+2570	3081
7735+338	8073
1173+564	1737
575+8014	8589
2659+447	3106
1425+564	1989
6377+701	7078
210+205	415
709+830	1539
707+908	1615
686+229	915
9337+362	9699
531+8887	9418
8284+290	8574
240+916	1156
161+230	391
698+8140	8838
6861+418	7279
9866+894	10760
250+580	830
717+6618	7335
477+1132	1609
3369+158	3527
619+938	1557
1894+532	2426
300+4282	4582
4297+904	5201
449+293	742
8794+811	9605
8657+714	9371
6425+972	7397
6499+730	7229
528+6384	6912
207+565	772
607+324	931
754+328	1082
4772+577	5349
4492+344	4836
852+6431	7283
7158+310	7468
288+1110	1398
110+2208	2318
130+2887	3017
397+550	947
746+699	1445
144+1486	1630
302+390	692
324+368	692
3855+447	4302
5029+282	5311
122+280	402
203+1343	1546
3248+488	3736
2818+446	3264
412+567	979
478+928	1406
776+3807	4583
8106+999	9105
2071+221	2292
233+913	1146
296+645	941
811+7131	7942
713+8037	8750
5006+147	5153
4098+974	5072
5819+908	6727
435+353	788
744+914	1658
993+3071	4064
9011+314	9325
2333+903	3236
909+2062	2971
620+497	1117
9342+483	9825
631+8606	9237
429+829	1258
638+8918	9556
9106+585	9691
695+7569	8264
1599+312	1911
307+562	869
505+323	828
535+7178	7713
3575+962	4537
360+2388	2748
869+186	1055
555+9500	10055
335+1674	2009
624+6511	7135
561+8660	9221
518+7021	7539
424+5473	5897
125+3942	4067
339+5351	5690
2243+467	2710
401+962	1363
